c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11	c12	c13	c14	c15	c16	c17	c18	c19	c20	c21	c22	c23	c24	c25	c26	c27	c28	c29	c30	c31	c32	c33	c34	c35	c36	c37	c38	c39	c40	c41	c42	c43	c44	c45	c46	c47	c48	c49	c50	c51	c52	c53	c54	c55	c56	c57	c58	c59	c60	c61	c62	c63	c64	c65	c66	c67	c68	c69	c70	c71	c72	c73	c74	c75	c76	c77	c78	c79	c80	c81	c82	c83	c84	c85	c86	c87	c88	c89	c90	c91	c92	c93	c94	c95	c96	c97	c98	c99	c100	c101	c102	c103	c104	c105	c106	c107
"Date"	""	""	""	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07
"Issue"	""	""	""	3	3	5	3	4	5	1	5	3	5	5	5	1	1	1	5	1	3	3	1	5		1	1	1	3	1	5	5	5	3	3	3	3	3	5	3	3	3	2	5	3	1	5	1	3	3	4	1	2	3	2	2	2	2	3	5	4	3	1		5	2	5	3		2	5	5	3	2		1	5	2	5	5	3	3	3	5	5	3	3	1	4	4	2	2	5	6	5	2	2	1	5	1	5	1	5	4	2	2
"Threshold"	""	""	""	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1			1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Vote #"	""	""	""	1	2	1	2	1	2	1	2	3	1	1	2	3	4	5	6	7	8	9	10	1	2	1	2	3	4	5	1	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	1	1	2	3	4	5	6	7	8	9	10	11	12	13	1	2	3	4	5	6	7	1	2	3	4	5	6	7	8	9	10	1	2	3	4	5	6	7	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22
"Deputy"	"Name"	"Party"	"District"																																																																																																							
"d001"	"Acuña Peralta, César"	"11"	"12"	1	1	1	1	1	1	1	1	1	1	1	1	1	5	1	0	0	0	1	1	1	0	7	7	7	7	7	1	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	8	8	8	8	8	8	8	8	8	8	8	8	8	8	7	7	7	7	7	7	7	0	1	1	1	1	1	7	7	7	7	1	1	1	1	1	1	1	1	1	1	1	6	1	7	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"d122"	"Aita Campodónico, Rafael Antonio"	"11"	"13"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	5	5	5	5	5	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1	1	1	1	0	1	1	1	1	1	7	1	1	1	1	1	1	1	1	8	8	8	8	8	1	1	1	1	1	1	1	1	1	1
"d123"	"Alejos Calderón, Walter"	"3"	"4"	1	1	1	1	1	1	1	1	1	7	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	8	8	8	8	8	8	1	1	1	1	1	1	1	1	1	1	1	1	1	7	1	1	1	1	1	1	5	7	7	1	1	1	1	1	0	1	1	1	1	1	1	0	0	1	1	1	1	1	1	6	8	8	8	8	8	1	1	1	1	0	0	1	1	1	1	0
"d124"	"Alfaro Huerta, Maruja Hermelinda"	"3"	"1"	1	1	1	1	1	1	1	1	1	6	6	1	0	1	1	1	6	1	1	1	1	1	1	1	1	1	1	6	1	1	0	1	1	1	1	1	1	1	1	6	1	1	1	6	1	1	1	1	7	1	1	1	1	1	7	6	1	1	1	1	1	1	1	6	1	1	1	1	1	1	1	6	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	7	7	1	6	1	1	1	1	1	0	0	1	6	1	1	0
"d125"	"Almerí Veramendi, Carlos Alberto"	"3"	"15"	1	1	1	1	1	1	7	1	1	6	6	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6	1	1	0	1	1	1	1	1	1	1	1	1	1	7	1	6	1	1	1	7	1	7	1	1	1	1	1	6	6	1	1	7	7	1	7	1	1	1	1	1	6	7	7	1	7	7	1	1	7	7	7	7	7	1	1	1	1	1	7	1	1	1	1	7	1	1	1	1	0	0	1	1	1	1	0
